Project,Day,Month,Year,Headline,URL,Source,Country,Language,Format,Format2,IsBroken
OSS,1,11,2014,Newsday,,The Week,UK,English,Print,,
PLP,26,5,2014,Un brazo virtual consigue eliminar el dolor del  miembro fantasma al simular su movimiento,http://www.sevillaindependiente.com/__n2809262__Un_brazo_virtual_consigue_eliminar_el_dolor_del_2623393Bmiembro_fantasma2623393B_al_simular_su_movimiento.html,Sevilla Independiente,,Spanish,Online,,Broken
PLP,2,2,2014,un brazo virtual consigue eliminar el dolor del miembro fantasma al simular su movimiento,http://noticias.es.msn.com/ultima-hora/un-brazo-virtual-consigue-eliminar-el-dolor-del-miembro-fantasma-al-simular-su-movimiento,Noticias,Spain,Spanish,Online,,Broken
PLP,26,2,2014,Un brazo virtual consigue eliminar el dolor del  miembro fantasma al simular su movimiento,http://www.elsemanaldigital.com/un-brazo-virtual-consigue-eliminar-el-dolor-del-miembro-fantasma-al-simular-su-movimiento-207369_noticia.htm,El Semanal Digital,Spain,Spanish,Online,,Broken
PLP,4,3,2014,Dataarm tar bort fantomsmärta,http://www.gp.se/nyheter/goteborg/1.2292278-goteborgsforskare-ar-pa-vag-att-losa-fantomsmartor,Göteborg Posten,Sweden,Swedish,Online,,Broken
OSS,20,12,2014,Thought-controlled prosthetics,http://www.scienceupdate.com/2012/12/arm/,Science Update,International,English,Radio/Podcasts,Online,
OSS,12,12,2014,Immunterapi mot melanom knep andraplatsen,https://www.dagensmedicin.se/artiklar/2014/12/12/immunterapi-mot-melanom-knep-andraplatsen/,Dagens Medicin,Sweden,Swedish,Online,,
OSS,6,12,2014,Futuremag,,ARTE,France,French,Video/TV,,
OSS,17,4,2014,Han styr sin armprotes med sina tanker,http://www.tv4.se/efter-tio/klipp/han-styr-sin-armprotes-med-sina-tankar-3015022,TV 4 Malou efter tio,Sweden,Swedish,Video/TV,,Broken
OSS,6,11,2014,"Neural Interface Activates a Sense of Touch in Prosthetic Limbs. Vol. 14, Issue 21",https://journals.lww.com/neurotodayonline/Fulltext/2014/11060/Neural_Interface_Activates_a_Sense_of_Touch_in.7.aspx,Neurology Today,International,English,Print,,
OSS,6,5,2014,Neural Interface Activates a Sense of Touch in Prosthetic Limbs,https://journals.lww.com/neurotodayonline/Fulltext/2014/11060/Neural_Interface_Activates_a_Sense_of_Touch_in.7.aspx,Neurology Today,International,English,Online,,
OSS,4,10,2014,Human-machine interfaces expand the functionality of prosthetic limbs,https://www.nature.com/articles/nrneurol.2014.212,Nature Reviews Neurology,International,English,Online,,
OSS,3,11,2014,“Science will save the world”,,VRT,Belgium,Dutch,Video/TV,,
PLP,3,11,2014,Fim da dor que não deveria existir,"http://www.correiobraziliense.com.br/app/noticia/eu-estudante/me_gerais/2014/03/11/me_gerais_interna,416803/o-fim-da-dor-que-nao-deveria-existir.shtml",Correio Braziliense,Brazil,Portuguese,Online,,Broken
OSS,3,11,2014,Avsnitt Robotarm och kometlandning,http://www.svtplay.se/video/2446971/vetenskapens-varld/avsnitt-10-robotarm-och-kometlandning,SVT Vetenskapens Värld,Sweden,Swedish,Video/TV,,Broken
